Tipo,Site,Country,Month,Consumption,Unit,Instrument,Supplier
electricity,SAO-01,BRA,2024-01,3070,MWh,,RenewCo PPA
electricity,SAO-01,BRA,2024-02,3274,MWh,,RenewCo PPA
electricity,SAO-01,BRA,2024-03,2676824,kWh,,RenewCo PPA
electricity,SAO-01,BRA,2024-04,2489787,kWh,ppa_renewable,RenewCo PPA
electricity,SAO-01,BRA,2024-05,2206845,kWh,ppa_renewable,RenewCo PPA
electricity,SAO-01,BRA,2024-06,1845535,kWh,ppa_renewable,RenewCo PPA
electricity,SAO-01,BRA,2024-07,1776901,kWh,green_tariff,RenewCo PPA
electricity,SAO-01,BRA,2024-08,1789,MWh,green_tariff,RenewCo PPA
electricity,SAO-01,BRA,2024-09,2089946,kWh,ppa_renewable,RenewCo PPA
electricity,SAO-01,BRA,2024-10,2301,MWh,ppa_renewable,RenewCo PPA
electricity,SAO-01,BRA,2024-11,2771,MWh,ppa_renewable,RenewCo PPA
electricity,SAO-01,BRA,2024-12,3208,MWh,green_tariff,RenewCo PPA
electricity,SAO-02,BRA,2024-01,2907475,kWh,,Utility BRA
electricity,SAO-02,BRA,2024-02,2954909,kWh,,Utility BRA
electricity,SAO-02,BRA,2024-03,2569945,kWh,,Utility BRA
electricity,SAO-02,BRA,2024-04,2346687,kWh,,Utility BRA
electricity,SAO-02,BRA,2024-05,2243,MWh,,Utility BRA
electricity,SAO-02,BRA,2024-06,1928,MWh,,Utility BRA
electricity,SAO-02,BRA,2024-07,1815,MWh,,Utility BRA
electricity,SAO-02,BRA,2024-08,1749,MWh,,Utility BRA
electricity,SAO-02,BRA,2024-09,2006980,kWh,,Utility BRA
electricity,SAO-02,BRA,2024-10,2577,MWh,,Utility BRA
electricity,SAO-02,BRA,2024-11,2641,MWh,,Utility BRA
electricity,SAO-02,BRA,2024-12,3215249,kWh,,Utility BRA
electricity,HAM-01,DEU,2024-01,1823830,kWh,,RenewCo PPA
electricity,HAM-01,DEU,2024-02,1694783,kWh,,RenewCo PPA
electricity,HAM-01,DEU,2024-03,1703,MWh,,RenewCo PPA
electricity,HAM-01,DEU,2024-04,1454449,kWh,ppa_renewable,RenewCo PPA
electricity,HAM-01,DEU,2024-05,1223176,kWh,green_tariff,RenewCo PPA
electricity,HAM-01,DEU,2024-06,1083576,kWh,ppa_renewable,RenewCo PPA
electricity,HAM-01,DEU,2024-07,998,MWh,ppa_renewable,RenewCo PPA
electricity,HAM-01,DEU,2024-08,1150,MWh,ppa_renewable,RenewCo PPA
electricity,HAM-01,DEU,2024-09,1138,MWh,ppa_renewable,RenewCo PPA
electricity,HAM-01,DEU,2024-10,1490021,kWh,ppa_renewable,RenewCo PPA
electricity,HAM-01,DEU,2024-11,1793933,kWh,ppa_renewable,RenewCo PPA
electricity,HAM-01,DEU,2024-12,1817082,kWh,ppa_renewable,RenewCo PPA
electricity,ROT-02,NLD,2024-01,2199,MWh,,Utility NLD
electricity,ROT-02,NLD,2024-02,2228432,kWh,,Utility NLD
electricity,ROT-02,NLD,2024-03,2071525,kWh,,Utility NLD
electricity,ROT-02,NLD,2024-04,1630228,kWh,,Utility NLD
electricity,ROT-02,NLD,2024-05,1381,MWh,,Utility NLD
electricity,ROT-02,NLD,2024-06,1321,MWh,,Utility NLD
electricity,ROT-02,NLD,2024-07,1198,MWh,,Utility NLD
electricity,ROT-02,NLD,2024-08,1318,MWh,,Utility NLD
electricity,ROT-02,NLD,2024-09,1318898,kWh,,Utility NLD
electricity,ROT-02,NLD,2024-10,1540,MWh,,Utility NLD
electricity,ROT-02,NLD,2024-11,2128,MWh,,Utility NLD
electricity,ROT-02,NLD,2024-12,1936362,kWh,,Utility NLD
electricity,JNB-01,ZAF,2024-01,4233,MWh,,Utility ZAF
electricity,JNB-01,ZAF,2024-02,4182035,kWh,,Utility ZAF
electricity,JNB-01,ZAF,2024-03,3856,MWh,,Utility ZAF
electricity,JNB-01,ZAF,2024-04,2827,MWh,,Utility ZAF
electricity,JNB-01,ZAF,2024-05,2895,MWh,,Utility ZAF
electricity,JNB-01,ZAF,2024-06,2261,MWh,,Utility ZAF
electricity,JNB-01,ZAF,2024-07,2390,MWh,,Utility ZAF
electricity,JNB-01,ZAF,2024-08,2240,MWh,,Utility ZAF
electricity,JNB-01,ZAF,2024-09,2607,MWh,,Utility ZAF
electricity,JNB-01,ZAF,2024-10,3366,MWh,,Utility ZAF
electricity,JNB-01,ZAF,2024-11,3634529,kWh,,Utility ZAF
electricity,JNB-01,ZAF,2024-12,3477,MWh,,Utility ZAF
electricity,SHA-03,CHN,2024-01,3344895,kWh,,Utility CHN
electricity,SHA-03,CHN,2024-02,3260,MWh,,Utility CHN
electricity,SHA-03,CHN,2024-03,3510065,kWh,,Utility CHN
electricity,SHA-03,CHN,2024-04,2561070,kWh,,Utility CHN
electricity,SHA-03,CHN,2024-05,2367349,kWh,,Utility CHN
electricity,SHA-03,CHN,2024-06,1988,MWh,,Utility CHN
electricity,SHA-03,CHN,2024-07,1945856,kWh,,Utility CHN
electricity,SHA-03,CHN,2024-08,1982,MWh,,Utility CHN
electricity,SHA-03,CHN,2024-09,2317,MWh,,Utility CHN
electricity,SHA-03,CHN,2024-10,2650458,kWh,,Utility CHN
electricity,SHA-03,CHN,2024-11,3359,MWh,,Utility CHN
electricity,SHA-03,CHN,2024-12,3522,MWh,,Utility CHN
