Tipo,Site,Item,Quantity,Unit,Period
upstream_transport,SAO-01,hgv_diesel,1094090,tkm,2024
upstream_transport,SAO-01,sea_container,5168169,tkm,2024
upstream_transport,SAO-01,rail_freight,1642394,tkm,2024
downstream_transport,SAO-01,hgv_diesel,518334,tkm,2024
downstream_transport,SAO-01,sea_container,2472256,tkm,2024
business_travel_air,SAO-01,air_short_haul,52346,pkm,2024
business_travel_air,SAO-01,air_long_haul,487215,pkm,2024
business_travel_land,SAO-01,car_average,185757,pkm,2024
employee_commuting,SAO-01,car_average,3393725,pkm,2024
employee_commuting,SAO-01,bus,1049148,pkm,2024
employee_commuting,SAO-01,rail,1246492,pkm,2024
upstream_transport,SAO-02,hgv_diesel,1016465,tkm,2024
upstream_transport,SAO-02,sea_container,4479002,tkm,2024
upstream_transport,SAO-02,rail_freight,2395168,tkm,2024
downstream_transport,SAO-02,hgv_diesel,636256,tkm,2024
downstream_transport,SAO-02,sea_container,2550580,tkm,2024
business_travel_air,SAO-02,air_short_haul,62096,pkm,2024
business_travel_air,SAO-02,air_long_haul,533488,pkm,2024
business_travel_land,SAO-02,car_average,216500,pkm,2024
employee_commuting,SAO-02,car_average,3921370,pkm,2024
employee_commuting,SAO-02,bus,1104260,pkm,2024
employee_commuting,SAO-02,rail,1157680,pkm,2024
upstream_transport,HAM-01,hgv_diesel,954793,tkm,2024
upstream_transport,HAM-01,sea_container,5073288,tkm,2024
upstream_transport,HAM-01,rail_freight,1766158,tkm,2024
downstream_transport,HAM-01,hgv_diesel,675066,tkm,2024
downstream_transport,HAM-01,sea_container,2999671,tkm,2024
business_travel_air,HAM-01,air_short_haul,102167,pkm,2024
business_travel_air,HAM-01,air_long_haul,244427,pkm,2024
business_travel_land,HAM-01,car_average,234430,pkm,2024
employee_commuting,HAM-01,car_average,2960232,pkm,2024
employee_commuting,HAM-01,bus,1163223,pkm,2024
employee_commuting,HAM-01,rail,1359943,pkm,2024
upstream_transport,ROT-02,hgv_diesel,749602,tkm,2024
upstream_transport,ROT-02,sea_container,4557952,tkm,2024
upstream_transport,ROT-02,rail_freight,1631784,tkm,2024
downstream_transport,ROT-02,hgv_diesel,518513,tkm,2024
downstream_transport,ROT-02,sea_container,2282413,tkm,2024
business_travel_air,ROT-02,air_short_haul,101373,pkm,2024
business_travel_air,ROT-02,air_long_haul,327686,pkm,2024
business_travel_land,ROT-02,car_average,347981,pkm,2024
employee_commuting,ROT-02,car_average,2539098,pkm,2024
employee_commuting,ROT-02,bus,955042,pkm,2024
employee_commuting,ROT-02,rail,1587093,pkm,2024
upstream_transport,JNB-01,hgv_diesel,747450,tkm,2024
upstream_transport,JNB-01,sea_container,3703396,tkm,2024
upstream_transport,JNB-01,rail_freight,1951457,tkm,2024
downstream_transport,JNB-01,hgv_diesel,519900,tkm,2024
downstream_transport,JNB-01,sea_container,2616366,tkm,2024
business_travel_air,JNB-01,air_short_haul,103228,pkm,2024
business_travel_air,JNB-01,air_long_haul,431193,pkm,2024
business_travel_land,JNB-01,car_average,327126,pkm,2024
employee_commuting,JNB-01,car_average,3218587,pkm,2024
employee_commuting,JNB-01,bus,1163255,pkm,2024
employee_commuting,JNB-01,rail,1175329,pkm,2024
upstream_transport,SHA-03,hgv_diesel,1002487,tkm,2024
upstream_transport,SHA-03,sea_container,2986139,tkm,2024
upstream_transport,SHA-03,rail_freight,2693518,tkm,2024
downstream_transport,SHA-03,hgv_diesel,511427,tkm,2024
downstream_transport,SHA-03,sea_container,2137041,tkm,2024
business_travel_air,SHA-03,air_short_haul,95980,pkm,2024
business_travel_air,SHA-03,air_long_haul,214421,pkm,2024
business_travel_land,SHA-03,car_average,180726,pkm,2024
employee_commuting,SHA-03,car_average,2304349,pkm,2024
employee_commuting,SHA-03,bus,989076,pkm,2024
employee_commuting,SHA-03,rail,1627836,pkm,2024
