Tipo,Site,Route,Mass,Unit,Period
waste,SAO-01,landfill_msw,422,t,2024
waste,SAO-01,recycling,254,t,2024
waste,SAO-01,incineration,116,t,2024
waste,SAO-02,landfill_msw,664,t,2024
waste,SAO-02,recycling,478,t,2024
waste,SAO-02,incineration,174,t,2024
waste,HAM-01,landfill_msw,518,t,2024
waste,HAM-01,recycling,452,t,2024
waste,HAM-01,incineration,187,t,2024
waste,ROT-02,landfill_msw,499,t,2024
waste,ROT-02,recycling,611,t,2024
waste,ROT-02,incineration,135,t,2024
waste,JNB-01,landfill_msw,515,t,2024
waste,JNB-01,recycling,593,t,2024
waste,JNB-01,incineration,254,t,2024
waste,SHA-03,landfill_msw,903,t,2024
waste,SHA-03,recycling,289,t,2024
waste,SHA-03,incineration,268,t,2024
